Time resolution is 1 ps
                   0s = x, clk = 0, rst = 1, Count = xx, Address = zz, Inst = xx, Control = xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                  10s = x, clk = 1, rst = 1, Count = xx, Address = zz, Inst = xx, Control = xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                  20s = x, clk = 0, rst = 1, Count = xx, Address = zz, Inst = xx, Control = xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                  30s = x, clk = 1, rst = 1, Count = xx, Address = zz, Inst = xx, Control = xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                  40s = x, clk = 0, rst = 1, Count = xx, Address = zz, Inst = xx, Control = xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                  50s = x, clk = 1, rst = 1, Count = xx, Address = zz, Inst = xx, Control = xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                  60s = x, clk = 0, rst = 1, Count = xx, Address = zz, Inst = xx, Control = xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                  70s = x, clk = 1, rst = 1, Count = xx, Address = zz, Inst = xx, Control = xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                  80s = x, clk = 0, rst = 1, Count = xx, Address = zz, Inst = xx, Control = xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                  90s = x, clk = 1, rst = 1, Count = xx, Address = zz, Inst = xx, Control = xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 100s = 0, clk = 0, rst = 0, Count = xx, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 110s = 0, clk = 1, rst = 0, Count = xx, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 120s = 0, clk = 0, rst = 0, Count = xx, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 130s = 0, clk = 1, rst = 0, Count = xx, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 140s = 0, clk = 0, rst = 0, Count = xx, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 150s = 0, clk = 1, rst = 0, Count = xx, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 160s = 0, clk = 0, rst = 0, Count = xx, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 170s = 0, clk = 1, rst = 0, Count = xx, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 180s = 0, clk = 0, rst = 0, Count = xx, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 190s = 0, clk = 1, rst = 0, Count = xx, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 200s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 210s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 220s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
