Time resolution is 1 ps
                   0Control = xx0f, clk = 0, Count = xx, Opcode = x, Result = x, Store = z, Stat = x, Inst = xx
                   0Control = xx0f, clk = 0, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                  10Control = xx0f, clk = 1, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                  20Control = xx0f, clk = 0, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                  30Control = xx0f, clk = 1, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                  40Control = xx0f, clk = 0, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                  50Control = xx2f, clk = 1, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                  60Control = xx2f, clk = 0, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                  70Control = xx2f, clk = 1, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                  80Control = xx2f, clk = 0, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                  90Control = xx2f, clk = 1, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                 100Control = xx0f, clk = 0, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                 110Control = xx0f, clk = 1, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = 0, Inst = 01
                 110Control = xx0f, clk = 1, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 66
                 120Control = xx0f, clk = 0, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 66
                 130Control = xx0f, clk = 1, Count = 1f, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 66
                 130Control = xx0f, clk = 1, Count = 1f, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 66
                 140Control = xx0f, clk = 0, Count = 1f, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 66
                 150Control = xx2f, clk = 1, Count = 1f, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 66
                 150Control = xx2f, clk = 1, Count = 1e, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 66
                 150Control = xx2f, clk = 1, Count = 1c, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 66
                 150Control = xx2f, clk = 1, Count = 18, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 66
                 150Control = xx2f, clk = 1, Count = 10, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 66
                 151Control = xx2f, clk = 1, Count = 00, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 66
                 160Control = xx2f, clk = 0, Count = 00, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 66
                 170Control = xx2f, clk = 1, Count = 00, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 66
                 170Control = xx2f, clk = 1, Count = 00, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 01
                 180Control = xx2f, clk = 0, Count = 00, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 01
                 190Control = xx2f, clk = 1, Count = 00, Opcode = 6, Result = x, Store = z, Stat = x, Inst = 01
                 190Control = xx2f, clk = 1, Count = 00, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 01
                 200Control = xx0f, clk = 0, Count = 00, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 01
                 210Control = xx0f, clk = 1, Count = 00, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 01
                 220Control = xx0f, clk = 0, Count = 00, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 01
                 230Control = xx0f, clk = 1, Count = 00, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 01
                 240Control = xx0f, clk = 0, Count = 00, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 01
                 250Control = xx2f, clk = 1, Count = 00, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 01
                 250Control = xx2f, clk = 1, Count = 01, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 01
                 260Control = xx2f, clk = 0, Count = 01, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 01
                 270Control = xx2f, clk = 1, Count = 01, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 01
                 270Control = xx2f, clk = 1, Count = 01, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 22
                 280Control = xx2f, clk = 0, Count = 01, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 22
                 290Control = xx2f, clk = 1, Count = 01, Opcode = 0, Result = x, Store = z, Stat = x, Inst = 22
                 290Control = xx2f, clk = 1, Count = 01, Opcode = 2, Result = x, Store = z, Stat = x, Inst = 22
                 300Control = 0117, clk = 0, Count = 01, Opcode = 2, Result = 0, Store = z, Stat = x, Inst = 22
                 310Control = 0117, clk = 1, Count = 01, Opcode = 2, Result = 0, Store = z, Stat = x, Inst = 22
                 310Control = 0117, clk = 1, Count = 01, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 22
                 320Control = 0117, clk = 0, Count = 01, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 22
                 330Control = 0117, clk = 1, Count = 01, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 22
                 340Control = 0117, clk = 0, Count = 01, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 22
                 350Control = 0137, clk = 1, Count = 01, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 22
                 350Control = 0137, clk = 1, Count = 00, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 22
                 350Control = 0137, clk = 1, Count = 02, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 22
                 360Control = 0137, clk = 0, Count = 02, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 22
                 370Control = 0137, clk = 1, Count = 02, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 22
                 370Control = 0137, clk = 1, Count = 02, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 11
                 380Control = 0137, clk = 0, Count = 02, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 11
                 390Control = 0137, clk = 1, Count = 02, Opcode = 2, Result = 0, Store = z, Stat = 0, Inst = 11
                 390Control = 0137, clk = 1, Count = 02, Opcode = 1, Result = 0, Store = z, Stat = 0, Inst = 11
                 400Control = 0188, clk = 0, Count = 02, Opcode = 1, Result = 0, Store = 1, Stat = 0, Inst = 11
                 410Control = 0188, clk = 1, Count = 02, Opcode = 1, Result = 0, Store = 1, Stat = 0, Inst = 11
                 420Control = 0188, clk = 0, Count = 02, Opcode = 1, Result = 0, Store = 1, Stat = 0, Inst = 11
                 430Control = 0188, clk = 1, Count = 02, Opcode = 1, Result = 0, Store = 1, Stat = 0, Inst = 11
                 440Control = 0188, clk = 0, Count = 02, Opcode = 1, Result = 0, Store = 1, Stat = 0, Inst = 11
                 450Control = 01a8, clk = 1, Count = 02, Opcode = 1, Result = 0, Store = 1, Stat = 0, Inst = 11
                 450Control = 01a8, clk = 1, Count = 03, Opcode = 1, Result = 0, Store = 1, Stat = 0, Inst = 11
                 460Control = 01a8, clk = 0, Count = 03, Opcode = 1, Result = 0, Store = 1, Stat = 0, Inst = 11
                 470Control = 01a8, clk = 1, Count = 03, Opcode = 1, Result = 0, Store = 1, Stat = 0, Inst = 11
                 480Control = 01a8, clk = 0, Count = 03, Opcode = 1, Result = 0, Store = 1, Stat = 0, Inst = 11
                 490Control = 01a8, clk = 1, Count = 03, Opcode = 1, Result = 0, Store = 1, Stat = 0, Inst = 11
                 500Control = 010f, clk = 0, Count = 03, Opcode = 1, Result = 0, Store = z, Stat = 0, Inst = 11
                 510Control = 010f, clk = 1, Count = 03, Opcode = 1, Result = 0, Store = z, Stat = 0, Inst = 11
                 510Control = 010f, clk = 1, Count = 03, Opcode = 1, Result = 0, Store = z, Stat = 0, Inst = 02
                 520Control = 010f, clk = 0, Count = 03, Opcode = 1, Result = 0, Store = z, Stat = 0, Inst = 02
                 530Control = 010f, clk = 1, Count = 03, Opcode = 1, Result = 0, Store = z, Stat = 0, Inst = 02
                 530Control = 010f, clk = 1, Count = 03, Opcode = 0, Result = 0, Store = z, Stat = 0, Inst = 02
                 540Control = 010f, clk = 0, Count = 03, Opcode = 0, Result = 0, Store = z, Stat = 0, Inst = 02
                 550Control = 012f, clk = 1, Count = 03, Opcode = 0, Result = 0, Store = z, Stat = 0, Inst = 02
                 550Control = 012f, clk = 1, Count = 02, Opcode = 0, Result = 0, Store = z, Stat = 0, Inst = 02
                 550Control = 012f, clk = 1, Count = 00, Opcode = 0, Result = 0, Store = z, Stat = 0, Inst = 02
                 550Control = 012f, clk = 1, Count = 04, Opcode = 0, Result = 0, Store = z, Stat = 0, Inst = 02
                 560Control = 012f, clk = 0, Count = 04, Opcode = 0, Result = 0, Store = z, Stat = 0, Inst = 02
                 570Control = 012f, clk = 1, Count = 04, Opcode = 0, Result = 0, Store = z, Stat = 0, Inst = 02
                 570Control = 012f, clk = 1, Count = 04, Opcode = 0, Result = 0, Store = z, Stat = 0, Inst = 31
                 580Control = 012f, clk = 0, Count = 04, Opcode = 0, Result = 0, Store = z, Stat = 0, Inst = 31
                 590Control = 012f, clk = 1, Count = 04, Opcode = 0, Result = 0, Store = z, Stat = 0, Inst = 31
                 590Control = 012f, clk = 1, Count = 04, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 31
                 600Control = 0217, clk = 0, Count = 04, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 31
                 610Control = 0217, clk = 1, Count = 04, Opcode = 3, Result = 0, Store = z, Stat = 0, Inst = 31
                 610Control = 0217, clk = 1, Count = 04, Opcode = 3, Result = 0, Store = z, Stat = 2, Inst = 31
                 620Control = 0217, clk = 0, Count = 04, Opcode = 3, Result = 0, Store = z, Stat = 2, Inst = 31
                 630Control = 0217, clk = 1, Count = 04, Opcode = 3, Result = 0, Store = z, Stat = 2, Inst = 31
                 630Control = 0217, clk = 1, Count = 04, Opcode = 3, Result = 0, Store = z, Stat = 5, Inst = 31
                 640Control = 0217, clk = 0, Count = 04, Opcode = 3, Result = 0, Store = z, Stat = 5, Inst = 31
                 650Control = 0237, clk = 1, Count = 04, Opcode = 3, Result = 0, Store = z, Stat = 5, Inst = 31
                 650Control = 0237, clk = 1, Count = 05, Opcode = 3, Result = 0, Store = z, Stat = 5, Inst = 31
                 660Control = 0237, clk = 0, Count = 05, Opcode = 3, Result = 0, Store = z, Stat = 5, Inst = 31
                 670Control = 0237, clk = 1, Count = 05, Opcode = 3, Result = 0, Store = z, Stat = 5, Inst = 31
                 670Control = 0237, clk = 1, Count = 05, Opcode = 3, Result = 0, Store = z, Stat = 5, Inst = 12
                 680Control = 0237, clk = 0, Count = 05, Opcode = 3, Result = 0, Store = z, Stat = 5, Inst = 12
                 690Control = 0237, clk = 1, Count = 05, Opcode = 3, Result = 0, Store = z, Stat = 5, Inst = 12
                 690Control = 0237, clk = 1, Count = 05, Opcode = 1, Result = 0, Store = z, Stat = 5, Inst = 12
                 700Control = 0288, clk = 0, Count = 05, Opcode = 1, Result = 0, Store = 2, Stat = 5, Inst = 12
                 710Control = 0288, clk = 1, Count = 05, Opcode = 1, Result = 0, Store = 2, Stat = 5, Inst = 12
                 710Control = 0288, clk = 1, Count = 05, Opcode = 1, Result = 0, Store = 2, Stat = 2, Inst = 12
                 720Control = 0288, clk = 0, Count = 05, Opcode = 1, Result = 0, Store = 2, Stat = 2, Inst = 12
                 730Control = 0288, clk = 1, Count = 05, Opcode = 1, Result = 0, Store = 2, Stat = 2, Inst = 12
                 740Control = 0288, clk = 0, Count = 05, Opcode = 1, Result = 0, Store = 2, Stat = 2, Inst = 12
                 750Control = 02a8, clk = 1, Count = 05, Opcode = 1, Result = 0, Store = 2, Stat = 2, Inst = 12
                 750Control = 02a8, clk = 1, Count = 04, Opcode = 1, Result = 0, Store = 2, Stat = 2, Inst = 12
                 750Control = 02a8, clk = 1, Count = 06, Opcode = 1, Result = 0, Store = 2, Stat = 2, Inst = 12
                 760Control = 02a8, clk = 0, Count = 06, Opcode = 1, Result = 0, Store = 2, Stat = 2, Inst = 12
                 770Control = 02a8, clk = 1, Count = 06, Opcode = 1, Result = 0, Store = 2, Stat = 2, Inst = 12
                 780Control = 02a8, clk = 0, Count = 06, Opcode = 1, Result = 0, Store = 2, Stat = 2, Inst = 12
                 790Control = 02a8, clk = 1, Count = 06, Opcode = 1, Result = 0, Store = 2, Stat = 2, Inst = 12
                 800Control = 020f, clk = 0, Count = 06, Opcode = 1, Result = 0, Store = z, Stat = 2, Inst = 12
                 810Control = 020f, clk = 1, Count = 06, Opcode = 1, Result = 0, Store = z, Stat = 2, Inst = 12
