Time resolution is 1 ps
                   0clk = 0, s = zzzzz, Result = x, Store = x, Stat = x, Inst = xx
                   3clk = 0, s = zzzzz, Result = x, Store = z, Stat = 0, Inst = xx
                   4clk = 0, s = zzzzz, Result = x, Store = z, Stat = 0, Inst = xX
                   4clk = 0, s = zzzzz, Result = x, Store = z, Stat = 0, Inst = XX
                   4clk = 0, s = zzzzz, Result = X, Store = z, Stat = 0, Inst = XX
                   4clk = 0, s = zzzzz, Result = X, Store = z, Stat = 0, Inst = XX
                   4clk = 0, s = zzzzz, Result = X, Store = z, Stat = 0, Inst = 01
                   4clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                  10clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                  20clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                  30clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                  40clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                  50clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                  60clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                  70clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                  80clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                  90clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                 100clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                 110clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 0, Inst = 01
                 116clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 120clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 130clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 140clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 150clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 160clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 170clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 180clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 190clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 200clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 210clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 220clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 230clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 240clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 250clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 260clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 270clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 280clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 290clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 300clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 310clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 320clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 330clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 340clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 350clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 360clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 370clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 380clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 390clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 400clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 410clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 420clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 430clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 440clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 450clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 460clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 470clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 480clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 490clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 500clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 510clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 520clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 530clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 540clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 550clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 560clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 570clk = 1, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
                 580clk = 0, s = zzzzz, Result = 0, Store = z, Stat = 4, Inst = 01
