Time resolution is 1 ps
                   0clk = 0, s = x, rst = 1, Count = xx, address = xx, Control = xxxx, T = xxxxX, Inst = xx, A = x, B = x, Y = x
                  50clk = 1, s = 0, rst = 0, Count = xx, address = xx, Control = Xxxx, T = xxxxx, Inst = xx, A = x, B = x, Y = x
                 100clk = 0, s = 1, rst = 0, Count = 00, address = 00, Control = 4000, T = 0000X, Inst = 00, A = x, B = x, Y = x
                 150clk = 1, s = 1, rst = 0, Count = 00, address = 00, Control = 4000, T = 00001, Inst = 00, A = x, B = x, Y = x
                 200clk = 0, s = 1, rst = 0, Count = 00, address = 00, Control = 4000, T = 00001, Inst = 00, A = x, B = x, Y = x
                 250clk = 1, s = 0, rst = 0, Count = 00, address = 00, Control = 0002, T = 00002, Inst = 00, A = x, B = x, Y = x
                 300clk = 0, s = 0, rst = 0, Count = 00, address = 00, Control = 0002, T = 00002, Inst = 00, A = x, B = x, Y = x
                 350clk = 1, s = 0, rst = 0, Count = 00, address = 0Z, Control = 000d, T = 00004, Inst = 00, A = x, B = x, Y = x
                 400clk = 0, s = 0, rst = 0, Count = 00, address = 0Z, Control = 000d, T = 00004, Inst = 00, A = x, B = x, Y = x
                 450clk = 1, s = 0, rst = 0, Count = 00, address = 00, Control = 0010, T = 00008, Inst = 00, A = 0, B = x, Y = 0
                 500clk = 0, s = 0, rst = 0, Count = 00, address = 00, Control = 0010, T = 00008, Inst = 00, A = 0, B = x, Y = 0
                 550clk = 1, s = 0, rst = 0, Count = 01, address = 01, Control = 0080, T = 00010, Inst = 01, A = 0, B = 0, Y = 0
                 600clk = 0, s = 0, rst = 0, Count = 01, address = 01, Control = 0080, T = 00010, Inst = 01, A = 0, B = 0, Y = 0
                 650clk = 1, s = 0, rst = 0, Count = 01, address = 01, Control = 0002, T = 00002, Inst = 01, A = 0, B = 0, Y = 0
                 700clk = 0, s = 0, rst = 0, Count = 01, address = 01, Control = 0002, T = 00002, Inst = 01, A = 0, B = 0, Y = 0
                 750clk = 1, s = 0, rst = 0, Count = 01, address = 0Z, Control = 000d, T = 00004, Inst = 01, A = 0, B = 0, Y = 0
                 800clk = 0, s = 0, rst = 0, Count = 01, address = 0Z, Control = 000d, T = 00004, Inst = 01, A = 0, B = 0, Y = 0
                 850clk = 1, s = 0, rst = 0, Count = 01, address = 01, Control = 0010, T = 00008, Inst = 01, A = 1, B = 0, Y = 1
                 900clk = 0, s = 0, rst = 0, Count = 01, address = 01, Control = 0010, T = 00008, Inst = 01, A = 1, B = 0, Y = 1
                 950clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0080, T = 00010, Inst = 22, A = 1, B = 1, Y = 1
                1000clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0080, T = 00010, Inst = 22, A = 1, B = 1, Y = 1
                1050clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 1, B = 1, Y = 1
                1100clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 1, B = 1, Y = 1
                1150clk = 1, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 1, B = 1, Y = 1
                1200clk = 0, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 1, B = 1, Y = 1
                1250clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 1, Y = 2
                1300clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 1, Y = 2
                1350clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                1400clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                1450clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                1500clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                1550clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                1600clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                1650clk = 1, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                1700clk = 0, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                1750clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                1800clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                1850clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                1900clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                1950clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                2000clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                2050clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                2100clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                2150clk = 1, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                2200clk = 0, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                2250clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                2300clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                2350clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                2400clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                2450clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                2500clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                2550clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                2600clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                2650clk = 1, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                2700clk = 0, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                2750clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                2800clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                2850clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                2900clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                2950clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                3000clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                3050clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                3100clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                3150clk = 1, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
