Time resolution is 1 ps
                   0clk = 0, s = x, rst = 1, Count = xx, Address = xx, Control = xxxx, T = xxxxx, Inst = xx, A = x, B = x
                   2clk = 0, s = x, rst = 1, Count = xx, Address = 00, Control = X0XX, T = 000Xx, Inst = 00, A = 0, B = z
                   3clk = 0, s = x, rst = 1, Count = xx, Address = 00, Control = X0XX, T = 000XX, Inst = 00, A = 0, B = z
                   3clk = 0, s = x, rst = 1, Count = 00, Address = 00, Control = X00X, T = 00000, Inst = 00, A = 0, B = z
                   4clk = 0, s = x, rst = 1, Count = 00, Address = 00, Control = X002, T = 00000, Inst = 00, A = 0, B = z
                  20clk = 1, s = 0, rst = 0, Count = 00, Address = 00, Control = X002, T = 00000, Inst = 00, A = 0, B = z
                  24clk = 1, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                  40clk = 0, s = 1, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                  44clk = 0, s = 1, rst = 0, Count = 00, Address = 00, Control = 4002, T = 00000, Inst = 00, A = 0, B = z
                  60clk = 1, s = 1, rst = 0, Count = 00, Address = 00, Control = 4002, T = 00000, Inst = 00, A = 0, B = z
                  80clk = 0, s = 1, rst = 0, Count = 00, Address = 00, Control = 4002, T = 00000, Inst = 00, A = 0, B = z
                 100clk = 1, s = 0, rst = 0, Count = 00, Address = 00, Control = 4002, T = 00000, Inst = 00, A = 0, B = z
                 104clk = 1, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                 120clk = 0, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                 140clk = 1, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                 160clk = 0, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                 180clk = 1, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                 200clk = 0, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                 220clk = 1, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                 240clk = 0, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                 260clk = 1, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                 280clk = 0, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
                 300clk = 1, s = 0, rst = 0, Count = 00, Address = 00, Control = 0002, T = 00000, Inst = 00, A = 0, B = z
