Time resolution is 1 ps
                   0S = xxxx, clk = 0, s = x, rst = 1, Control = xxxx, T = xxxxX
                  10S = xxxx, clk = 1, s = x, rst = 1, Control = xxxx, T = xxxxX
                  20S = xxxx, clk = 0, s = 0, rst = 0, Control = Xxxx, T = xxxxX
                  30S = xxxx, clk = 1, s = 0, rst = 0, Control = Xxxx, T = xxxxx
                  40S = 0000, clk = 0, s = 1, rst = 0, Control = 4000, T = 0000X
                  50S = 0000, clk = 1, s = 1, rst = 0, Control = 4000, T = 00001
                  60S = 0000, clk = 0, s = 1, rst = 0, Control = 4000, T = 00001
                  70S = 0000, clk = 1, s = 1, rst = 0, Control = 4000, T = 00001
                  80S = 0000, clk = 0, s = 0, rst = 0, Control = 0000, T = 00001
                  90S = 0000, clk = 1, s = 0, rst = 0, Control = 0002, T = 00002
                 100S = 0000, clk = 0, s = 0, rst = 0, Control = 0002, T = 00002
                 110S = 0001, clk = 1, s = 0, rst = 0, Control = 000d, T = 00004
                 120S = 0001, clk = 0, s = 0, rst = 0, Control = 000d, T = 00004
                 130S = 0001, clk = 1, s = 0, rst = 0, Control = 0010, T = 00008
                 140S = 0001, clk = 0, s = 0, rst = 0, Control = 0010, T = 00008
                 150S = 0002, clk = 1, s = 0, rst = 0, Control = 0022, T = 00020
                 160S = 0002, clk = 0, s = 0, rst = 0, Control = 0022, T = 00020
                 170S = 0002, clk = 1, s = 0, rst = 0, Control = 0004, T = 00800
                 180S = 0002, clk = 0, s = 0, rst = 0, Control = 0004, T = 00800
                 190S = 0002, clk = 1, s = 0, rst = 0, Control = 0002, T = 00002
                 200S = 0004, clk = 0, s = 0, rst = 0, Control = 0002, T = 00002
                 210S = 0004, clk = 1, s = 0, rst = 0, Control = 000d, T = 00004
                 220S = 0004, clk = 0, s = 0, rst = 0, Control = 000d, T = 00004
                 230S = 0004, clk = 1, s = 0, rst = 0, Control = 0010, T = 00008
                 240S = 0004, clk = 0, s = 0, rst = 0, Control = 0010, T = 00008
                 250S = 0008, clk = 1, s = 0, rst = 0, Control = 0000, T = 00040
