Time resolution is 1 ps
                   0S = 0000, clk = 0, s = 1, Control = xxxxxxxxxxxxx, T = xxxxx
                   3S = 0000, clk = 0, s = 1, Control = 00xxx0000xxx0, T = 00000
                   4S = 0000, clk = 0, s = 1, Control = 00xxx00000x00, T = 00000
                   4S = 0000, clk = 0, s = 1, Control = 0000000000x00, T = 00000
                   4S = 0000, clk = 0, s = 1, Control = 0000000000000, T = 00000
                  20S = 0000, clk = 1, s = 1, Control = 0000000000000, T = 00000
                  40S = 0000, clk = 0, s = 1, Control = 0000000000000, T = 00000
                  60S = 0000, clk = 1, s = 1, Control = 0000000000000, T = 00000
                  80S = 0000, clk = 0, s = 1, Control = 0000000000000, T = 00000
                 100S = 0000, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 120S = 0000, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 130S = 0001, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 140S = 0001, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 160S = 0001, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 170S = 0002, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 180S = 0002, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 200S = 0002, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 220S = 0004, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 240S = 0004, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 260S = 0004, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 270S = 0008, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 280S = 0008, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 300S = 0008, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 320S = 0010, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 340S = 0010, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 360S = 0020, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 380S = 0020, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 400S = 0040, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 420S = 0040, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 440S = 0040, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 450S = 0080, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 460S = 0080, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 480S = 0080, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 500S = 0100, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 520S = 0100, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 540S = 0100, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 550S = 0200, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 560S = 0200, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 580S = 0200, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 600S = 0400, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 620S = 0400, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 640S = 0800, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 660S = 0800, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 680S = 1000, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 700S = 1000, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 720S = 0000, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 740S = 0000, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 760S = 0000, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 780S = 0000, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 800S = 0000, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 820S = 0000, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 840S = 0000, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 860S = 0000, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 880S = 0000, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 900S = 0000, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 920S = 0000, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 940S = 0000, clk = 1, s = 0, Control = 0000000000000, T = 00000
                 960S = 0000, clk = 0, s = 0, Control = 0000000000000, T = 00000
                 980S = 0000, clk = 1, s = 0, Control = 0000000000000, T = 00000
                1000S = 0000, clk = 0, s = 0, Control = 0000000000000, T = 00000
