Time resolution is 1 ps
                   0clk = 0, rw = 1, address = xx, d_in = xx, d_out = xx
                   3clk = 0, rw = 1, address = xx, d_in = xx, d_out = 00
                  10clk = 1, rw = 1, address = 00, d_in = 11, d_out = 00
                  20clk = 0, rw = 1, address = 00, d_in = 11, d_out = 00
                  30clk = 1, rw = 1, address = 01, d_in = 22, d_out = 00
                  40clk = 0, rw = 1, address = 01, d_in = 22, d_out = 00
                  50clk = 1, rw = 1, address = 02, d_in = 33, d_out = 00
                  60clk = 0, rw = 1, address = 02, d_in = 33, d_out = 00
                  70clk = 1, rw = 1, address = 03, d_in = 44, d_out = 00
                  80clk = 0, rw = 1, address = 03, d_in = 44, d_out = 00
                  90clk = 1, rw = 1, address = 04, d_in = 55, d_out = 00
                 100clk = 0, rw = 1, address = 04, d_in = 55, d_out = 00
                 110clk = 1, rw = 0, address = 04, d_in = 55, d_out = 00
                 116clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 120clk = 0, rw = 0, address = 00, d_in = 55, d_out = 55
                 130clk = 1, rw = 0, address = 00, d_in = 55, d_out = 55
                 136clk = 1, rw = 0, address = 00, d_in = 55, d_out = 11
                 140clk = 0, rw = 0, address = 01, d_in = 55, d_out = 11
                 150clk = 1, rw = 0, address = 01, d_in = 55, d_out = 11
                 156clk = 1, rw = 0, address = 01, d_in = 55, d_out = 22
                 160clk = 0, rw = 0, address = 02, d_in = 55, d_out = 22
                 170clk = 1, rw = 0, address = 02, d_in = 55, d_out = 22
                 176clk = 1, rw = 0, address = 02, d_in = 55, d_out = 33
                 180clk = 0, rw = 0, address = 03, d_in = 55, d_out = 33
                 190clk = 1, rw = 0, address = 03, d_in = 55, d_out = 33
                 196clk = 1, rw = 0, address = 03, d_in = 55, d_out = 44
                 200clk = 0, rw = 0, address = 04, d_in = 55, d_out = 44
                 210clk = 1, rw = 0, address = 04, d_in = 55, d_out = 44
                 216clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 220clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 230clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 240clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 250clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 260clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 270clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 280clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 290clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 300clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 310clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 320clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 330clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 340clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 350clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 360clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 370clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 380clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 390clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 400clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 410clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 420clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 430clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 440clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 450clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 460clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 470clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 480clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 490clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 500clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 510clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 520clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 530clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 540clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 550clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 560clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 570clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 580clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 590clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 600clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 610clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 620clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 630clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 640clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 650clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 660clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 670clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 680clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 690clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 700clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 710clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 720clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 730clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 740clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 750clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 760clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 770clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 780clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 790clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 800clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 810clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 820clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 830clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 840clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 850clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 860clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 870clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 880clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 890clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 900clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 910clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 920clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 930clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 940clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 950clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 960clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 970clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                 980clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
                 990clk = 1, rw = 0, address = 04, d_in = 55, d_out = 55
                1000clk = 0, rw = 0, address = 04, d_in = 55, d_out = 55
