Time resolution is 1 ps
                   0Control = 0, rst = 1, Count = 00
                  10Control = 1, rst = 1, Count = 00
                  20Control = 0, rst = 1, Count = 00
                  30Control = 1, rst = 1, Count = 00
                  40Control = 0, rst = 0, Count = 00
                  50Control = 1, rst = 0, Count = 01
                  60Control = 0, rst = 0, Count = 01
                  70Control = 1, rst = 0, Count = 02
                  80Control = 0, rst = 0, Count = 02
                  90Control = 1, rst = 0, Count = 03
                 100Control = 0, rst = 0, Count = 03
                 110Control = 1, rst = 0, Count = 04
                 120Control = 0, rst = 0, Count = 04
                 130Control = 1, rst = 0, Count = 05
                 140Control = 0, rst = 0, Count = 05
                 150Control = 1, rst = 0, Count = 06
                 160Control = 0, rst = 0, Count = 06
                 170Control = 1, rst = 0, Count = 07
                 180Control = 0, rst = 0, Count = 07
                 190Control = 1, rst = 0, Count = 08
                 200Control = 0, rst = 0, Count = 08
                 210Control = 1, rst = 0, Count = 09
                 220Control = 0, rst = 0, Count = 09
                 230Control = 1, rst = 0, Count = 0a
                 240Control = 0, rst = 0, Count = 0a
                 250Control = 1, rst = 0, Count = 0b
                 260Control = 0, rst = 0, Count = 0b
                 270Control = 1, rst = 0, Count = 0c
                 280Control = 0, rst = 0, Count = 0c
                 290Control = 1, rst = 0, Count = 0d
                 300Control = 0, rst = 0, Count = 0d
                 310Control = 1, rst = 0, Count = 0e
                 320Control = 0, rst = 0, Count = 0e
                 330Control = 1, rst = 0, Count = 0f
                 340Control = 0, rst = 0, Count = 0f
                 350Control = 1, rst = 0, Count = 10
                 360Control = 0, rst = 0, Count = 10
                 370Control = 1, rst = 0, Count = 11
                 380Control = 0, rst = 0, Count = 11
                 390Control = 1, rst = 0, Count = 12
                 400Control = 0, rst = 0, Count = 12
                 410Control = 1, rst = 0, Count = 13
                 420Control = 0, rst = 0, Count = 13
                 430Control = 1, rst = 0, Count = 14
                 440Control = 0, rst = 0, Count = 14
                 450Control = 1, rst = 0, Count = 15
                 460Control = 0, rst = 0, Count = 15
                 470Control = 1, rst = 0, Count = 16
                 480Control = 0, rst = 0, Count = 16
                 490Control = 1, rst = 0, Count = 17
                 500Control = 0, rst = 0, Count = 17
                 510Control = 1, rst = 0, Count = 18
                 520Control = 0, rst = 0, Count = 18
                 530Control = 1, rst = 0, Count = 19
                 540Control = 0, rst = 0, Count = 19
                 550Control = 1, rst = 0, Count = 1a
                 560Control = 0, rst = 0, Count = 1a
                 570Control = 1, rst = 0, Count = 1b
                 580Control = 0, rst = 0, Count = 1b
                 590Control = 1, rst = 0, Count = 1c
                 600Control = 0, rst = 0, Count = 1c
                 610Control = 1, rst = 0, Count = 1d
                 620Control = 0, rst = 0, Count = 1d
                 630Control = 1, rst = 0, Count = 1e
                 640Control = 0, rst = 0, Count = 1e
                 650Control = 1, rst = 0, Count = 1f
                 660Control = 0, rst = 0, Count = 1f
                 670Control = 1, rst = 0, Count = 00
                 680Control = 0, rst = 0, Count = 00
                 690Control = 1, rst = 0, Count = 01
                 700Control = 0, rst = 0, Count = 01
                 710Control = 1, rst = 0, Count = 02
                 720Control = 0, rst = 0, Count = 02
                 730Control = 1, rst = 0, Count = 03
                 740Control = 0, rst = 0, Count = 03
                 750Control = 1, rst = 0, Count = 04
                 760Control = 0, rst = 0, Count = 04
                 770Control = 1, rst = 0, Count = 05
                 780Control = 0, rst = 0, Count = 05
                 790Control = 1, rst = 0, Count = 06
                 800Control = 0, rst = 0, Count = 06
                 810Control = 1, rst = 0, Count = 07
                 820Control = 0, rst = 0, Count = 07
                 830Control = 1, rst = 0, Count = 08
                 840Control = 0, rst = 0, Count = 08
                 850Control = 1, rst = 0, Count = 09
                 860Control = 0, rst = 0, Count = 09
                 870Control = 1, rst = 0, Count = 0a
                 880Control = 0, rst = 0, Count = 0a
                 890Control = 1, rst = 0, Count = 0b
                 900Control = 0, rst = 0, Count = 0b
                 910Control = 1, rst = 0, Count = 0c
                 920Control = 0, rst = 0, Count = 0c
                 930Control = 1, rst = 0, Count = 0d
                 940Control = 0, rst = 0, Count = 0d
                 950Control = 1, rst = 0, Count = 0e
                 960Control = 0, rst = 0, Count = 0e
                 970Control = 1, rst = 0, Count = 0f
                 980Control = 0, rst = 0, Count = 0f
                 990Control = 1, rst = 0, Count = 10
                1000Control = 0, rst = 0, Count = 10
