Time resolution is 1 ps
                   0Control = 0, rst = 0, Count = xx
                   3Control = 0, rst = 0, Count = 00
                  10Control = 1, rst = 0, Count = 00
                  20Control = 0, rst = 0, Count = 00
                  30Control = 1, rst = 0, Count = 00
                  40Control = 0, rst = 0, Count = 00
                  50Control = 1, rst = 0, Count = 00
                  60Control = 0, rst = 0, Count = 00
                  70Control = 1, rst = 0, Count = 00
                  80Control = 0, rst = 0, Count = 00
                  90Control = 1, rst = 0, Count = 00
                 100Control = 0, rst = 0, Count = 00
                 110Control = 1, rst = 0, Count = 00
                 116Control = 1, rst = 0, Count = 01
                 120Control = 0, rst = 0, Count = 01
                 130Control = 1, rst = 0, Count = 01
                 136Control = 1, rst = 0, Count = 02
                 140Control = 0, rst = 0, Count = 02
                 150Control = 1, rst = 0, Count = 02
                 156Control = 1, rst = 0, Count = 03
                 160Control = 0, rst = 0, Count = 03
                 170Control = 1, rst = 0, Count = 03
                 176Control = 1, rst = 0, Count = 04
                 180Control = 0, rst = 0, Count = 04
                 190Control = 1, rst = 0, Count = 04
                 196Control = 1, rst = 0, Count = 05
                 200Control = 0, rst = 0, Count = 05
                 210Control = 1, rst = 0, Count = 05
                 216Control = 1, rst = 0, Count = 06
                 220Control = 0, rst = 0, Count = 06
                 230Control = 1, rst = 0, Count = 06
                 236Control = 1, rst = 0, Count = 07
                 240Control = 0, rst = 0, Count = 07
                 250Control = 1, rst = 0, Count = 07
                 256Control = 1, rst = 0, Count = 08
                 260Control = 0, rst = 0, Count = 08
                 270Control = 1, rst = 0, Count = 08
                 276Control = 1, rst = 0, Count = 09
                 280Control = 0, rst = 0, Count = 09
                 290Control = 1, rst = 0, Count = 09
                 296Control = 1, rst = 0, Count = 0a
                 300Control = 0, rst = 0, Count = 0a
                 310Control = 1, rst = 0, Count = 0a
                 316Control = 1, rst = 0, Count = 0b
                 320Control = 0, rst = 0, Count = 0b
                 330Control = 1, rst = 0, Count = 0b
                 336Control = 1, rst = 0, Count = 0c
                 340Control = 0, rst = 0, Count = 0c
                 350Control = 1, rst = 0, Count = 0c
                 356Control = 1, rst = 0, Count = 0d
                 360Control = 0, rst = 0, Count = 0d
                 370Control = 1, rst = 0, Count = 0d
                 376Control = 1, rst = 0, Count = 0e
                 380Control = 0, rst = 0, Count = 0e
                 390Control = 1, rst = 0, Count = 0e
                 396Control = 1, rst = 0, Count = 0f
                 400Control = 0, rst = 0, Count = 0f
                 410Control = 1, rst = 0, Count = 0f
                 416Control = 1, rst = 0, Count = 10
                 420Control = 0, rst = 0, Count = 10
                 430Control = 1, rst = 0, Count = 10
                 436Control = 1, rst = 0, Count = 11
                 440Control = 0, rst = 0, Count = 11
                 450Control = 1, rst = 0, Count = 11
                 456Control = 1, rst = 0, Count = 12
                 460Control = 0, rst = 0, Count = 12
                 470Control = 1, rst = 0, Count = 12
                 476Control = 1, rst = 0, Count = 13
                 480Control = 0, rst = 0, Count = 13
                 490Control = 1, rst = 0, Count = 13
                 496Control = 1, rst = 0, Count = 14
                 500Control = 0, rst = 0, Count = 14
                 510Control = 1, rst = 0, Count = 14
                 516Control = 1, rst = 0, Count = 15
                 520Control = 0, rst = 0, Count = 15
                 530Control = 1, rst = 0, Count = 15
                 536Control = 1, rst = 0, Count = 16
                 540Control = 0, rst = 0, Count = 16
                 550Control = 1, rst = 0, Count = 16
                 556Control = 1, rst = 0, Count = 17
                 560Control = 0, rst = 0, Count = 17
                 570Control = 1, rst = 0, Count = 17
                 576Control = 1, rst = 0, Count = 18
                 580Control = 0, rst = 0, Count = 18
                 590Control = 1, rst = 0, Count = 18
                 596Control = 1, rst = 0, Count = 19
                 600Control = 0, rst = 0, Count = 19
                 610Control = 1, rst = 0, Count = 19
                 616Control = 1, rst = 0, Count = 1a
                 620Control = 0, rst = 0, Count = 1a
                 630Control = 1, rst = 0, Count = 1a
                 636Control = 1, rst = 0, Count = 1b
                 640Control = 0, rst = 0, Count = 1b
                 650Control = 1, rst = 0, Count = 1b
                 656Control = 1, rst = 0, Count = 1c
                 660Control = 0, rst = 0, Count = 1c
                 670Control = 1, rst = 0, Count = 1c
                 676Control = 1, rst = 0, Count = 1d
                 680Control = 0, rst = 0, Count = 1d
                 690Control = 1, rst = 0, Count = 1d
                 696Control = 1, rst = 0, Count = 1e
                 700Control = 0, rst = 0, Count = 1e
                 710Control = 1, rst = 0, Count = 1e
                 716Control = 1, rst = 0, Count = 1f
                 720Control = 0, rst = 0, Count = 1f
                 730Control = 1, rst = 0, Count = 1f
                 736Control = 1, rst = 0, Count = 00
                 740Control = 0, rst = 0, Count = 00
                 750Control = 1, rst = 0, Count = 00
                 756Control = 1, rst = 0, Count = 01
                 760Control = 0, rst = 0, Count = 01
                 770Control = 1, rst = 0, Count = 01
                 776Control = 1, rst = 0, Count = 02
                 780Control = 0, rst = 0, Count = 02
                 790Control = 1, rst = 0, Count = 02
                 796Control = 1, rst = 0, Count = 03
                 800Control = 0, rst = 0, Count = 03
                 810Control = 1, rst = 0, Count = 03
                 816Control = 1, rst = 0, Count = 04
                 820Control = 0, rst = 0, Count = 04
                 830Control = 1, rst = 0, Count = 04
                 836Control = 1, rst = 0, Count = 05
                 840Control = 0, rst = 0, Count = 05
                 850Control = 1, rst = 0, Count = 05
                 856Control = 1, rst = 0, Count = 06
                 860Control = 0, rst = 0, Count = 06
                 870Control = 1, rst = 0, Count = 06
                 876Control = 1, rst = 0, Count = 07
                 880Control = 0, rst = 0, Count = 07
                 890Control = 1, rst = 0, Count = 07
                 896Control = 1, rst = 0, Count = 08
                 900Control = 0, rst = 0, Count = 08
                 910Control = 1, rst = 0, Count = 08
                 916Control = 1, rst = 0, Count = 09
                 920Control = 0, rst = 0, Count = 09
                 930Control = 1, rst = 0, Count = 09
                 936Control = 1, rst = 0, Count = 0a
                 940Control = 0, rst = 0, Count = 0a
                 950Control = 1, rst = 0, Count = 0a
                 956Control = 1, rst = 0, Count = 0b
                 960Control = 0, rst = 0, Count = 0b
                 970Control = 1, rst = 0, Count = 0b
                 976Control = 1, rst = 0, Count = 0c
                 980Control = 0, rst = 0, Count = 0c
                 990Control = 1, rst = 0, Count = 0c
                 996Control = 1, rst = 0, Count = 0d
                1000Control = 0, rst = 0, Count = 0d
